81, 1.34e-04, 1.66e-01
121, 1.82e-04, 2.24e-01
169, 2.85e-04, 3.35e-01
256, 5.69e-04, 6.31e-01
361, 2.57e-03, 1.15e+00
484, 2.91e-03, 1.98e+00
676, 1.00e-02, 3.76e+00
1024, 1.69e-02, 8.50e+00
1444, 4.30e-02, 1.68e+01
2025, 1.01e-01, 3.29e+01
2809, 2.25e-01, 6.33e+01
4096, 5.45e-01, 1.34e+02
5776, 1.22e+00, 2.67e+02
8100, 2.88e+00, 5.25e+02
11449, 7.31e+00, 1.05e+03
16384, 2.39e+01, 2.15e+03
