0, 3.74e+00
1, 1.85e+00
2, 1.35e+00
3, 7.32e-02
4, 4.39e-02
5, 2.15e-02
6, 1.80e-03
7, 1.09e-03
8, 3.28e-04
9, 4.84e-05
10, 2.38e-05
11, 4.68e-06
12, 1.24e-06
13, 4.68e-07
14, 6.14e-08
15, 2.94e-08
16, 8.42e-09
17, 9.09e-10
